MUNI_ID|MUNI_NOMBRE|DEPA_NOMBRE|PUNTAJE_PROMEDIO|ERRORESTANDARPROMEDIO|DESVIACION|PORCENTAJE_INSUFICIENTE|PORCENTAJE_MINIMO|PORCENTAJE_SATISFACTORIO|PORCENTAJE_AVANZADO|N
25898|Zipacón|Cundinamarca|294|2,092|62|45|31|11|13|71
25899|Zipaquirá|Cundinamarca|330|0,255|62|25|31|21|23|2020
47980|Zona Bananera|Magdalena|263|0,306|49|67|23|6|4|1534
25851|útica|Cundinamarca|261|1,378|55|76|18|2|4|49
85136|La Salina|Casanare|313|0|61|41|14|35|10|29
85315|Sácama|Casanare|335|2,755|61|22|19|37|22|27
85325|San Luis De Palen|Casanare|306|0,918|67|38|35|15|13|143
85430|Trinidad|Casanare|310|0,612|61|32|37|20|11|309
91407|La Pedrera|Amazonas|239|3,878|34|85|15|0|0|20
94343|Barranco Minas|Guainía|243|0,561|41|80|16|4|1|197
94663|Mapiripana|Guainía|243|0|45|79|21|0|0|24
94884|Puerto Colombia|Guainía|248|0|46|74|27|0|0|34
94886|Cacahual|Guainía|259|5,153|46|63|31|6|0|16
99524|La Primavera|Vichada|287|1,224|59|43|37|15|5|222
99624|Santa Rosalía|Vichada|273|1,071|46|58|31|11|0|105
23682|San José de Uré|Córdoba|292|1,173|60|49|24|18|9|208
05792|Tarso|Antioquia|295|1,735|59|47|29|13|11|90
13490|Norosi|Bolívar|256|1,633|53|72|20|6|2|128
52473|Mosquera|Nariño|249|1,684|44|75|17|7|1|145
91263|El Encanto|Amazonas|248|1,122|37|80|20|0|0|45
91460|Miriti-Parana|Amazonas|251|0|33|83|17|0|0|6
91530|Puerto Alegria|Amazonas|247|0|49|74|21|0|5|19
94883|San Felipe|Guainía|279|2,857|53|49|40|6|6|35
94885|La Guadalupe|Guainía|225|0|20|100|0|0|0|4
97161|Caruru|Vaupés|258|1,071|41|82|11|8|0|38
23815|Tuchín|Córdoba|252|0,255|47|75|19|5|1|935
52385|La Llanada|Nariño|290|1,633|61|44|39|7|10|61
68655|Sabana de Torres|Santander|285|0,561|55|51|30|12|7|651
08634|Sabanagrande|Atlántico|296|0,612|56|39|37|16|8|541
05628|Sabanalarga|Antioquia|286|1,122|65|49|31|13|7|150
08638|Sabanalarga|Atlántico|273|0,204|52|60|26|10|5|1579
85300|Sabanalarga|Casanare|315|0,765|65|31|30|24|15|67
47660|Sabanas de San An|Magdalena|253|1,122|48|75|19|3|3|284
05631|Sabaneta|Antioquia|320|0,51|62|30|30|22|18|741
15632|Saboyá|Boyacá|309|0,663|61|37|31|19|13|229
23660|Sahagún|Córdoba|290|0,306|59|47|31|14|8|1801
41660|Saladoblanco|Huila|309|0,969|57|33|35|21|12|268
17653|Salamina|Caldas|306|1,276|61|34|38|17|12|205
47675|Salamina|Magdalena|258|0,459|49|73|21|5|2|194
54660|Salazar|Norte De Santander|307|1,02|62|36|37|14|13|188
73671|Saldaña|Tolima|283|1,531|62|53|27|10|10|232
63690|Salento|Quindio|317|1,48|73|30|28|23|19|120
05642|Salgar|Antioquia|291|0,561|56|45|36|13|7|296
15646|Samacá|Boyacá|321|0,459|66|27|30|27|17|457
52678|Samaniego|Nariño|314|0,459|53|31|33|21|15|384
17662|Samaná|Caldas|308|0,918|61|38|30|18|13|335
70670|Sampués|Sucre|290|0,459|55|44|36|13|7|923
41668|San Agustín|Huila|298|0,459|59|40|36|16|9|575
20710|San Alberto|Cesar|297|0,561|58|42|34|14|11|459
68669|San Andrés|Santander|337|0,255|63|18|36|25|21|159
88001|San Andrés|San Andrés|270|0,561|56|62|25|8|6|799
23670|San Andrés Sotave|Córdoba|263|0,306|50|65|25|8|3|902
05647|San Andrés de Cue|Antioquia|278|0,918|55|49|35|13|3|118
23672|San Antero|Córdoba|268|0,714|53|63|24|9|3|587
73675|San Antonio|Tolima|288|0,918|56|43|39|13|5|310
25645|San Antonio del T|Cundinamarca|304|0,408|56|36|32|22|9|161
68673|San Benito|Santander|288|1,173|59|52|21|19|7|42
70678|San Benito Abad|Sucre|260|0,561|46|70|21|7|3|564
25649|San Bernardo|Cundinamarca|333|1,48|60|20|29|34|18|151
52685|San Bernardo|Nariño|344|1,327|46|9|34|36|21|102
23675|San Bernardo del|Córdoba|266|0,612|52|63|25|7|4|759
54670|San Calixto|Norte De Santander|294|2,143|72|50|24|11|16|190
05649|San Carlos|Antioquia|292|0,765|59|49|28|16|8|288
23678|San Carlos|Córdoba|286|0,714|55|50|29|13|8|537
50680|San Carlos de Gua|Meta|277|0,714|51|54|33|11|2|273
25653|San Cayetano|Cundinamarca|323|1,122|61|24|32|29|16|63
54673|San Cayetano|Norte De Santander|302|0,867|62|39|38|13|11|119
13620|San Cristóbal|Bolívar|249|1,735|50|76|19|5|1|111
20750|San Diego|Cesar|331|1,48|67|36|17|14|32|355
15660|San Eduardo|Boyacá|282|2,551|67|55|24|10|10|29
13647|San Estanislao|Bolívar|242|0,51|45|81|16|3|1|343
13650|San Fernando|Bolívar|256|1,122|54|71|21|7|2|211
05652|San Francisco|Antioquia|299|1,429|67|42|27|18|13|85
25658|San Francisco|Cundinamarca|292|0|64|44|35|14|8|133
86755|San Francisco|Putumayo|304|1,122|66|38|36|12|14|113
68679|San Gil|Santander|342|0,459|65|21|31|21|27|923
13654|San Jacinto|Bolívar|300|0,816|69|43|28|16|13|469
13655|San Jacinto del C|Bolívar|259|1,173|47|70|24|5|1|189
05656|San Jerónimo|Antioquia|303|1,224|60|37|33|20|10|198
68682|San Joaquín|Santander|331|0|53|14|39|32|16|44
17665|San José|Caldas|289|1,429|57|44|31|18|7|68
68684|San José de Miran|Santander|350|0|76|17|21|37|25|52
15664|San José de Pare|Boyacá|314|1,276|76|47|20|9|25|77
05658|San José de la Mo|Antioquia|297|3,01|54|41|37|15|7|54
18610|San José del Frag|Caquetá|294|1,122|61|44|32|14|11|274
95001|San José del Guav|Guaviare|288|0,408|57|48|32|13|7|1054
27660|San José del Palm|Chocó|325|1,939|67|29|33|17|21|87
13657|San Juan Nepomuce|Bolívar|290|0,561|61|46|32|15|8|569
50683|San Juan de Arama|Meta|312|1,378|65|34|37|11|19|150
70702|San Juan de Betul|Sucre|283|0,612|58|52|29|14|6|238
25662|San Juan de Río S|Cundinamarca|330|1,429|63|27|26|26|22|139
05659|San Juan de Urabá|Antioquia|250|0,663|47|77|17|5|1|595
44650|San Juan del Cesa|La Guajira|304|0,561|60|41|28|17|14|879
50686|San Juanito|Meta|308|2,245|56|26|49|13|13|39
52687|San Lorenzo|Nariño|300|0,867|51|37|38|15|11|304
05660|San Luis|Antioquia|314|1,684|67|28|35|22|15|248
73678|San Luis|Tolima|273|0,612|54|56|29|12|3|255
15667|San Luis de Gacen|Boyacá|315|0|74|35|30|14|21|106
70742|San Luis de Sincé|Sucre|282|0,561|57|54|25|15|6|542
70708|San Marcos|Sucre|267|0,306|48|63|27|7|3|1181
20770|San Martín|Cesar|293|0,408|56|45|33|13|9|525
50689|San Martín|Meta|278|0,918|54|55|29|11|5|453
13667|San Martín de Lob|Bolívar|258|0,816|50|68|25|5|2|342
15673|San Mateo|Boyacá|307|0|73|39|31|14|16|51
68686|San Miguel|Santander|355|0,867|72|15|23|28|35|40
86757|San Miguel|Putumayo|283|0,612|56|52|29|14|6|386
15676|San Miguel de Sem|Boyacá|344|1,684|72|18|25|28|28|67
70713|San Onofre|Sucre|255|0,408|45|73|20|6|2|1099
13670|San Pablo|Bolívar|267|0,561|53|64|26|7|3|547
52693|San Pablo|Nariño|328|0,51|54|19|39|24|17|207
15681|San Pablo de Borb|Boyacá|316|0,918|68|33|26|24|17|115
70717|San Pedro|Sucre|290|0,408|57|47|32|13|8|330
76670|San Pedro|Valle Del Cauca|308|1,429|61|38|27|22|13|224
52694|San Pedro de Cart|Nariño|298|1,327|50|36|40|16|7|94
05665|San Pedro de Urab|Antioquia|277|0,51|54|57|28|10|5|809
05664|San Pedro de los|Antioquia|299|0,51|58|40|35|16|10|458
23686|San Pelayo|Córdoba|276|0,408|53|56|29|11|4|689
05667|San Rafael|Antioquia|301|0,867|65|38|37|15|10|240
05670|San Roque|Antioquia|312|0,714|67|36|31|18|16|315
19693|San Sebastián|Cauca|309|0,714|70|37|33|14|16|146
47692|San Sebastián de|Magdalena|276|1,071|57|59|23|14|5|353
05674|San Vicente|Antioquia|296|0,663|60|40|37|15|8|281
68689|San Vicente de Ch|Santander|311|0,816|67|35|33|17|15|561
18753|San Vicente del C|Caquetá|286|0,561|54|49|33|12|7|1088
47703|San Zenón|Magdalena|272|0,51|59|60|23|12|5|246
52683|Sandoná|Nariño|289|0,816|56|46|32|16|7|305
47707|Santa Ana|Magdalena|262|1,173|52|67|23|8|3|320
05679|Santa Bárbara|Antioquia|293|0,561|63|45|30|16|10|359
52696|Santa Bárbara|Nariño|288|1,888|52|49|28|15|8|153
68705|Santa Bárbara|Santander|307|2,245|52|26|40|29|5|38
47720|Santa Bárbara de|Magdalena|279|1,837|56|55|30|9|7|230
13673|Santa Catalina|Bolívar|260|0,918|52|70|21|6|3|290
68720|Santa Helena del|Santander|324|1,122|55|26|33|25|17|89
73686|Santa Isabel|Tolima|316|1,02|65|29|32|29|9|109
08675|Santa Lucía|Atlántico|241|0,867|40|84|15|1|0|234
47001|Santa Marta|Magdalena|287|0,153|56|50|28|14|8|8810
15690|Santa María|Boyacá|313|1,173|60|28|42|19|11|57
41676|Santa María|Huila|318|0,918|61|28|35|21|17|194
13683|Santa Rosa|Bolívar|272|0|54|58|27|13|2|353
19701|Santa Rosa|Cauca|324|1,02|55|29|34|17|20|98
66682|Santa Rosa de Cab|Risaralda|307|0,459|65|37|33|19|13|1148
05686|Santa Rosa de Oso|Antioquia|296|0,51|60|44|31|16|9|706
15693|Santa Rosa de Vit|Boyacá|327|0,612|64|25|31|25|19|163
13688|Santa Rosa del Su|Bolívar|318|0,408|62|31|29|23|18|747
15696|Santa Sofía|Boyacá|310|0|64|31|44|9|16|45
52699|Santacruz|Nariño|317|1,224|40|23|42|23|13|119
05042|Santafé de Antioq|Antioquia|281|0,714|54|54|30|12|5|413
15686|Santana|Boyacá|312|0,561|60|32|35|18|16|170
19698|Santander de Quil|Cauca|288|0,204|57|48|32|12|8|1783
54680|Santiago|Norte De Santander|293|1,582|54|39|34|22|5|59
86760|Santiago|Putumayo|296|1,327|57|43|37|12|8|124
70820|Santiago de Tolú|Sucre|273|0,408|54|60|25|9|5|603
05690|Santo Domingo|Antioquia|300|1,276|65|44|23|19|14|217
08685|Santo Tomás|Atlántico|282|0,357|50|50|35|11|4|331
